172.20.21.48, active
10.80.3.21, active
10.255.80.10, active
10.80.3.194, active
10.80.6.18, active
10.249.80.84, active
10.16.253.21, active
10.80.4.15, Inactive
10.80.4.25, active
10.249.80.243, active
10.80.5.5, Inactive
10.80.4.21, active
10.80.3.30, active
10.249.80.73, active
10.80.6.169, active
10.80.6.113, active
10.80.6.103, active
10.249.80.253, active
10.80.5.44, active
10.249.80.141, active
10.80.3.129, Inactive
10.80.5.43, active
10.80.3.254, Inactive
10.16.253.11, active
10.80.6.43, active
10.80.6.106, active
10.80.1.11, active
10.249.80.226, active
10.80.198.22, active
10.80.5.36, active
10.80.6.52, active
10.249.80.144, active
10.80.5.35, active
10.249.80.6, active
10.80.80.21, active
10.80.3.38, active
10.249.80.251, active
10.80.4.14, active
10.80.6.61, active
10.16.253.27, active
10.255.16.1, Inactive
10.80.6.45, active
10.80.6.51, active
10.80.254.86, active
10.80.6.21, active
10.80.3.28, active
10.80.6.47, Inactive
10.80.4.34, active
10.80.254.10, active
10.80.6.105, active
10.80.4.12, active
10.80.4.50, active
10.80.6.5, active
10.80.5.38, active
10.80.5.33, active
10.80.6.115, active
10.80.3.39, active
10.80.3.133, active
10.80.6.120, active
10.80.6.58, active
10.80.6.114, active
10.80.1.31, active
10.80.6.44, active
172.20.175.23, active
10.80.6.37, active
10.80.4.23, active
10.80.6.205, active
10.80.6.101, active
10.80.6.34, active
10.255.80.2, active
10.80.1.1, active
10.250.192.212, active
10.16.253.13, active
10.80.6.100, active
10.80.6.19, active
10.80.80.33, active
10.80.4.16, active
10.80.3.27, active
10.80.4.29, active
10.80.6.117, active
10.80.4.35, active
10.80.6.162, active
10.16.253.18, active
10.80.5.17, active
10.80.5.132, active
10.16.253.20, active
10.80.4.9, active
10.80.6.40, active
10.80.80.23, active
10.80.6.8, active
10.80.6.63, active
10.255.137.24, active
10.249.80.8, active
10.80.5.39, active
10.249.80.5, active
10.144.127.19, active
10.16.253.17, active
10.80.4.30, active
10.80.6.116, active
10.249.80.4, active
10.80.6.7, active
10.80.6.60, active
10.80.6.98, active
10.80.4.193, active
10.80.223.91, active
10.250.0.6, active
10.80.6.171, active
10.80.6.39, active
10.16.253.12, active
10.255.21.2, active
10.80.6.56, active
10.80.5.7, active
10.80.5.37, active
10.249.80.139, active
10.80.4.26, Inactive
10.255.16.2, Inactive
10.80.4.10, active
10.80.3.132, Inactive
10.16.253.29, active
10.80.6.17, active
10.80.6.104, active
10.255.80.13, active
10.80.4.27, active
10.16.253.16, active
10.20.254.41, active
10.80.3.32, active
172.20.2.10, active
172.20.175.25, Inactive
10.16.253.14, active
10.80.6.161, active
10.255.137.25, Inactive
10.80.5.135, active
10.249.80.245, active
10.16.253.24, active
10.80.4.20, active
10.80.5.18, active
10.80.6.164, active
10.80.5.41, active
10.255.80.1, active
10.255.80.11, Inactive
193.138.114.222, active
10.80.3.26, active
10.20.254.27, active
10.20.254.26, active
10.20.254.28, active
10.80.6.46, active
172.106.32.99, Inactive
172.20.2.177, active
10.80.3.37, active
10.80.6.65, active
10.80.3.25, active
193.138.114.246, Inactive
10.249.20.249, Inactive
10.80.4.28, active
10.16.253.28, active
10.80.3.35, active
10.20.254.46, active
10.80.1.3, active
10.80.6.42, active
10.255.80.8, active
10.20.254.52, active
10.80.3.22, active
10.20.254.44, active
10.80.6.49, active
10.80.6.41, active
10.80.5.6, active
10.20.254.47, active
10.80.6.107, active
10.80.4.8, active
10.80.4.19, active
10.80.80.25, active
10.80.4.31, active
10.137.27.194, active
10.80.6.6, active
172.20.38.52, Inactive
172.106.32.98, Inactive
10.80.4.13, active
10.80.4.17, active
10.20.254.42, active
10.20.254.21, active
10.249.80.132, active
10.80.5.12, active
10.249.80.252, active
10.80.4.33, active
10.80.6.48, active
10.16.253.15, active
10.251.6.38, Inactive
10.80.3.193, active
10.80.4.18, active
10.80.4.195, active
10.80.4.131, active
10.20.254.30, active
10.80.6.55, active
10.144.127.21, active
10.80.6.59, active
10.80.5.34, active
10.144.127.18, active
10.80.6.108, active
10.144.127.13, active
10.144.127.15, active
10.251.6.32, active
10.80.6.102, active
10.20.254.45, active
10.80.4.24, active
10.20.254.48, active
10.255.144.66, Inactive
10.80.6.109, Inactive
10.20.254.51, active
10.16.253.26, active
10.20.254.36, active
10.144.127.11, active
10.80.6.36, active
172.20.78.252, active
172.20.78.61, active
10.144.127.10, active
10.104.254.3, active
10.144.127.16, active
10.144.127.128, active
10.144.127.14, active
10.144.127.12, active
10.20.254.54, active
10.20.254.39, active
172.20.78.57, Inactive
10.20.254.31, active
10.104.255.1, active
10.20.254.38, active
10.20.254.37, active
10.20.255.2, active
10.80.6.53, active
172.20.78.51, Inactive
10.20.254.53, active
10.80.6.163, active
10.20.254.43, active
10.20.254.25, active
172.20.2.249, Inactive
10.20.254.34, active
10.80.80.31, active
10.144.127.22, Inactive
172.20.78.67, Inactive
172.20.38.59, Inactive
10.80.6.20, active
10.20.254.55, active
10.80.6.118, active
10.80.197.133, Inactive
10.80.5.45, active
10.255.80.14, Inactive
10.80.80.22, Inactive
10.20.254.56, active
172.20.78.60, active
10.80.5.42, active
172.20.175.24, Inactive
10.80.6.33, active
10.80.3.23, active
10.80.4.22, active
10.80.5.46, active
10.80.5.11, active
10.255.137.17, Inactive
10.80.4.32, active
10.16.253.23, active
10.80.6.110, active
172.20.2.54, Inactive
10.255.20.2, active
10.80.3.131, Inactive
10.104.254.2, active
172.20.38.55, Inactive
172.20.78.66, active
10.20.254.29, active
10.80.6.54, active
10.255.80.7, active
10.255.104.11, active
172.20.38.58, Inactive
10.80.3.130, active
10.20.254.58, active
10.80.6.165, Inactive
10.80.6.119, active
172.20.78.63, active
10.137.79.131, Inactive
10.108.254.33, active
172.20.38.51, Inactive
10.80.5.133, active
10.80.253.39, active
10.255.80.21, Inactive
10.137.19.194, Inactive
172.20.16.46, active
10.20.254.22, active
10.20.254.49, Inactive
10.20.254.57, Inactive
10.80.6.170, active
10.80.6.50, active
10.80.6.64, active
10.20.254.50, active
10.255.137.16, Inactive
10.104.254.6, active
10.80.3.34, active
10.137.79.192, Inactive
10.104.254.4, active
10.16.253.19, active
172.20.78.59, Inactive
10.255.144.64, Inactive
172.20.78.56, Inactive
10.20.254.35, active
10.255.144.65, Inactive
10.20.254.24, active
10.80.5.130, active
10.255.22.2, Inactive
10.20.254.33, active
10.249.21.5, Inactive
10.80.3.36, active
10.20.254.40, active
10.137.147.192, Inactive
10.81.253.20, Inactive
10.80.253.33, active
10.80.254.40, active
10.255.144.10, active
10.80.254.84, active
10.144.127.20, active
10.20.254.32, active
10.255.21.1, active
172.20.72.44, active
10.80.253.6, active
10.255.108.11, active
10.20.254.23, active
172.20.78.52, Inactive
10.251.8.11, active
10.80.253.41, Inactive
10.80.253.28, active
10.80.6.97, Inactive
10.255.20.1, active
10.108.254.36, active
193.138.114.245, Inactive
10.80.197.197, Inactive
10.108.254.34, active
10.255.108.10, active
172.20.178.28, active
10.108.254.31, active
10.80.6.111, Inactive
10.249.80.133, Inactive
10.21.63.1, active
10.104.254.5, active
10.255.104.10, active
10.16.254.13, active
172.20.78.50, Inactive
172.20.78.55, Inactive
10.80.5.134, active
193.138.114.221, active
10.20.254.20, active
10.80.253.18, Inactive
10.16.255.1, active
10.80.5.47, active
10.250.192.211, active
10.80.253.8, active
10.80.5.40, active
172.20.16.13, active
172.20.78.70, Inactive
172.20.78.54, Inactive
10.80.3.31, Inactive
10.249.80.78, Inactive
10.249.80.242, Inactive
10.20.255.1, active
172.20.78.251, active
10.255.24.3, active
10.81.253.5, Inactive
10.251.6.107, Inactive
172.20.78.58, Inactive
10.80.5.131, active
10.80.4.196, active
10.80.4.194, Inactive
10.80.201.102, Inactive
193.138.114.252, Inactive
172.20.72.43, active
172.20.178.25, Inactive
172.20.178.33, Inactive
10.249.80.206, active
10.80.254.22, active
10.255.16.3, Inactive
10.255.24.1, Inactive
10.24.255.1, Inactive
194.180.122.55, Inactive
10.249.255.4, Inactive
10.249.74.68, Inactive
10.249.20.250, Inactive
172.20.178.26, Inactive
172.20.78.253, Inactive
10.138.67.193, Inactive
172.20.178.24, Inactive
10.80.254.11, active
10.80.5.136, Inactive
172.20.178.27, Inactive
172.20.78.64, Inactive
10.249.108.17, Inactive
10.80.6.62, active
172.20.78.65, Inactive
10.80.6.168, Inactive
10.249.24.65, Inactive
10.255.24.2, Inactive
193.138.114.254, active
172.20.3.40, Inactive
10.137.55.1, Inactive
10.80.254.24, active
194.180.120.157, Inactive
10.96.254.44, active
10.74.254.66, active
10.96.254.34, active
10.108.254.35, active
10.80.254.83, active
10.255.72.10, active
10.144.63.22, active
10.80.254.21, active
10.80.254.81, active
10.80.253.14, active
172.20.14.46, Inactive
10.80.254.16, active
10.108.254.32, active
10.80.254.19, active
10.80.6.99, active
10.80.6.57, active
10.80.221.91, active
10.80.6.166, Inactive
10.80.253.15, active
10.80.253.20, active
10.80.6.112, Inactive
194.180.120.154, Inactive
10.80.254.12, active
10.80.253.11, active
10.80.222.222, active
10.96.254.155, active
10.80.254.14, active
10.255.22.3, Inactive
10.251.8.10, Inactive
10.80.3.33, active
172.20.3.41, Inactive
10.80.197.232, Inactive
10.249.80.74, Inactive
10.80.6.167, Inactive
10.80.253.13, active
10.80.254.193, active
10.96.254.78, active
10.80.199.123, Inactive
10.255.20.3, Inactive
10.24.255.2, Inactive
10.80.254.85, Inactive
10.80.3.29, active
172.20.178.29, Inactive
10.96.254.193, active
10.80.254.192, active
10.255.138.64, Inactive
10.249.80.198, active
10.74.254.44, active
10.249.24.1, Inactive
10.80.253.23, active
10.80.254.87, active
172.20.178.23, Inactive
10.80.221.92, Inactive
10.96.254.227, active
10.144.127.23, active
10.16.254.2, active
10.80.253.17, active
10.80.253.16, active
10.80.253.10, active
172.106.32.100, Inactive
10.80.3.24, active
10.80.197.136, Inactive
10.96.255.168, active
10.255.21.3, Inactive
10.255.144.71, active
10.144.63.16, active
10.16.254.14, active
10.80.253.29, active
10.144.63.50, active
10.80.253.27, active
10.80.254.20, active
